itrial,dataset,muh_fun,method,coverage,width
0,life,leastsq_ridge,naive,0.9112271540469974,29.512342339396184
0,life,leastsq_ridge,jackknife,0.9112271540469974,29.57227010159988
0,life,leastsq_ridge,jackknife+,0.9112271540469974,29.57227010159988
0,life,leastsq_ridge,jackknife-mm,0.9112271540469974,29.67314724029696
0,life,leastsq_ridge,CV+,0.9138381201044387,29.948470588247158
0,life,leastsq_ridge,split,0.8981723237597912,27.71285417529822
1,life,leastsq_ridge,naive,0.9234116623150566,30.53175968290139
1,life,leastsq_ridge,jackknife,0.9234116623150566,30.594980151840616
1,life,leastsq_ridge,jackknife+,0.9234116623150566,30.594449528059886
1,life,leastsq_ridge,jackknife-mm,0.9234116623150566,30.694698781654335
1,life,leastsq_ridge,CV+,0.9234116623150566,30.46189993998228
1,life,leastsq_ridge,split,0.9460400348128808,34.616841689523035
2,life,leastsq_ridge,naive,0.897302001740644,28.976531393000613
2,life,leastsq_ridge,jackknife,0.9033942558746736,29.03683933828526
2,life,leastsq_ridge,jackknife+,0.8999129677980853,29.03684068067758
2,life,leastsq_ridge,jackknife-mm,0.9033942558746736,29.147532652326024
2,life,leastsq_ridge,CV+,0.9094865100087032,29.28762585693628
2,life,leastsq_ridge,split,0.9303742384682332,32.47534417151064
3,life,leastsq_ridge,naive,0.9295039164490861,31.579101702212128
3,life,leastsq_ridge,jackknife,0.9321148825065274,31.64272230900546
3,life,leastsq_ridge,jackknife+,0.9303742384682332,31.60057242437702
3,life,leastsq_ridge,jackknife-mm,0.9321148825065274,31.760118133297134
3,life,leastsq_ridge,CV+,0.9303742384682332,31.593005492596255
3,life,leastsq_ridge,split,0.8929503916449086,27.219871574577468
4,life,leastsq_ridge,naive,0.9051348999129678,28.520287549240862
4,life,leastsq_ridge,jackknife,0.9060052219321149,28.57754502864711
4,life,leastsq_ridge,jackknife+,0.9051348999129678,28.577643463171597
4,life,leastsq_ridge,jackknife-mm,0.9060052219321149,28.68438596808351
4,life,leastsq_ridge,CV+,0.9112271540469974,28.9285412802571
4,life,leastsq_ridge,split,0.8929503916449086,27.593386124658792
5,life,leastsq_ridge,naive,0.927763272410792,31.342400220181787
5,life,leastsq_ridge,jackknife,0.927763272410792,31.40770551462776
5,life,leastsq_ridge,jackknife+,0.9286335944299391,31.407524400924242
5,life,leastsq_ridge,jackknife-mm,0.9286335944299391,31.507928062543748
5,life,leastsq_ridge,CV+,0.927763272410792,31.40676266788995
5,life,leastsq_ridge,split,0.9251523063533508,31.269787789834698
6,life,leastsq_ridge,naive,0.8859878154917319,28.20379568359236
6,life,leastsq_ridge,jackknife,0.8859878154917319,28.262449863531447
6,life,leastsq_ridge,jackknife+,0.8859878154917319,28.26249026839911
6,life,leastsq_ridge,jackknife-mm,0.8859878154917319,28.367503831121102
6,life,leastsq_ridge,CV+,0.8859878154917319,28.300665991005932
6,life,leastsq_ridge,split,0.8859878154917319,28.196485854552794
7,life,leastsq_ridge,naive,0.8790252393385553,27.07895812978977
7,life,leastsq_ridge,jackknife,0.8790252393385553,27.13322497898763
7,life,leastsq_ridge,jackknife+,0.8790252393385553,27.133475829573154
7,life,leastsq_ridge,jackknife-mm,0.8798955613577023,27.255703282588538
7,life,leastsq_ridge,CV+,0.8781549173194082,27.183980500220834
7,life,leastsq_ridge,split,0.8798955613577023,27.129033520697163
8,life,leastsq_ridge,naive,0.8607484769364665,26.378042538315924
8,life,leastsq_ridge,jackknife,0.8633594429939078,26.431392599486372
8,life,leastsq_ridge,jackknife+,0.8607484769364665,26.431348989635246
8,life,leastsq_ridge,jackknife-mm,0.8633594429939078,26.53351625914225
8,life,leastsq_ridge,CV+,0.8703220191470844,26.634253626618932
8,life,leastsq_ridge,split,0.8929503916449086,29.988286043816423
9,life,leastsq_ridge,naive,0.9086161879895561,29.993502793106074
9,life,leastsq_ridge,jackknife,0.9103568320278503,30.063708360481996
9,life,leastsq_ridge,jackknife+,0.9103568320278503,30.01938215997188
9,life,leastsq_ridge,jackknife-mm,0.9112271540469974,30.229373134745117
9,life,leastsq_ridge,CV+,0.9103568320278503,30.059235194396148
9,life,leastsq_ridge,split,0.9112271540469974,30.541113779238145
0,life,neural_net,naive,0.8485639686684073,1981.554475561641
0,life,neural_net,jackknife,0.9782419495213229,9392.759170534702
0,life,neural_net,jackknife+,1.0,21504.95202138627
0,life,neural_net,jackknife-mm,1.0,183522.96253754178
0,life,neural_net,CV+,1.0,84046.3004380506
0,life,neural_net,split,0.8703220191470844,51309.3847871258
1,life,neural_net,naive,0.8842471714534378,8070.955174733442
1,life,neural_net,jackknife,0.9704090513489991,23087.00126686206
1,life,neural_net,jackknife+,1.0,45883.27008289346
1,life,neural_net,jackknife-mm,1.0,259145.32931526803
1,life,neural_net,CV+,1.0,194595.10066698724
1,life,neural_net,split,0.9208006962576153,348956.62709523697
2,life,neural_net,naive,0.8546562228024369,840.8412342595113
2,life,neural_net,jackknife,0.9956483899042646,8896.517118966896
2,life,neural_net,jackknife+,1.0,22333.873938798366
2,life,neural_net,jackknife-mm,1.0,188225.97370182694
2,life,neural_net,CV+,1.0,28284.319467761376
2,life,neural_net,split,0.8476936466492603,7825.983006956099
3,life,neural_net,naive,0.9268929503916449,1626.4269103128845
3,life,neural_net,jackknife,0.9921671018276762,8499.783843891213
3,life,neural_net,jackknife+,1.0,17816.335549683896
3,life,neural_net,jackknife-mm,1.0,153413.08849174867
3,life,neural_net,CV+,1.0,37924.39880892253
3,life,neural_net,split,0.9164490861618799,9074.80464168496
4,life,neural_net,naive,0.8946910356832027,839.6326431354643
4,life,neural_net,jackknife,1.0,23133.83084864916
4,life,neural_net,jackknife+,1.0,44975.75018353714
4,life,neural_net,jackknife-mm,1.0,244863.5138686069
4,life,neural_net,CV+,1.0,26120.702473883764
4,life,neural_net,split,0.9164490861618799,40511.75436953416
5,life,neural_net,naive,0.9120974760661444,762.5103307765135
5,life,neural_net,jackknife,1.0,21385.084953217014
5,life,neural_net,jackknife+,1.0,44910.73221924967
5,life,neural_net,jackknife-mm,1.0,210524.03631187684
5,life,neural_net,CV+,1.0,418178.63682183775
5,life,neural_net,split,0.8938207136640557,193660.92313831227
6,life,neural_net,naive,0.8955613577023499,5484.386295463399
6,life,neural_net,jackknife,0.97911227154047,21386.248956929787
6,life,neural_net,jackknife+,1.0,49228.58931000659
6,life,neural_net,jackknife-mm,1.0,251060.70311952487
6,life,neural_net,CV+,1.0,110360.71303795282
6,life,neural_net,split,0.8798955613577023,1616.3132666876434
7,life,neural_net,naive,0.9077458659704091,984.1161035469275
7,life,neural_net,jackknife,0.9939077458659704,9168.012185630507
7,life,neural_net,jackknife+,1.0,18483.355843632176
7,life,neural_net,jackknife-mm,1.0,189902.4871227289
7,life,neural_net,CV+,1.0,68691.01402194756
7,life,neural_net,split,0.9025239338555265,101876.53585342647
8,life,neural_net,naive,0.8999129677980853,3007.7615501949185
8,life,neural_net,jackknife,0.9973890339425587,27725.4300619819
8,life,neural_net,jackknife+,1.0,49734.426538197455
8,life,neural_net,jackknife-mm,1.0,216907.29457491243
8,life,neural_net,CV+,1.0,84307.8557389664
8,life,neural_net,split,0.9033942558746736,14026.816217440135
9,life,neural_net,naive,0.9033942558746736,9487.26452509519
9,life,neural_net,jackknife,0.9625761531766753,20623.152714725176
9,life,neural_net,jackknife+,1.0,51401.02790098356
9,life,neural_net,jackknife-mm,1.0,241628.0657902874
9,life,neural_net,CV+,1.0,111685.13021033314
9,life,neural_net,split,0.906875543951262,265424.4741933806
