itrial,d,method,coverage,width
0,5,naive,0.88,2.963206131473781
0,5,jackknife,0.9,3.124789376942181
0,5,jackknife+,0.9,3.1414039184154383
0,5,jackknife-mm,0.91,3.2693000634166998
0,5,CV+,0.9,3.22469374352613
0,5,split,0.84,2.9297441706160106
1,5,naive,0.79,3.034391811084538
1,5,jackknife,0.83,3.1822102814090054
1,5,jackknife+,0.83,3.1880289524545145
1,5,jackknife-mm,0.86,3.3574778768347557
1,5,CV+,0.84,3.2379093520097597
1,5,split,0.94,4.558058727969577
2,5,naive,0.87,2.9058065004614746
2,5,jackknife,0.89,3.0383712190500756
2,5,jackknife+,0.89,3.030675755065542
2,5,jackknife-mm,0.89,3.2304638587724117
2,5,CV+,0.89,3.1553937426592285
2,5,split,0.96,4.170885247755341
3,5,naive,0.93,3.734193729985084
3,5,jackknife,0.95,4.004069142386772
3,5,jackknife+,0.94,4.002471489114693
3,5,jackknife-mm,0.96,4.184470214440555
3,5,CV+,0.95,3.9709454844145586
3,5,split,0.95,3.8922829421024545
4,5,naive,0.89,3.6229990115929795
4,5,jackknife,0.89,3.7021570914670865
4,5,jackknife+,0.89,3.7134998798239316
4,5,jackknife-mm,0.89,3.881658974623802
4,5,CV+,0.89,3.75110819244405
4,5,split,0.85,3.465584667438199
5,5,naive,0.89,4.0186074258061675
5,5,jackknife,0.93,4.260693316107436
5,5,jackknife+,0.91,4.248457414392168
5,5,jackknife-mm,0.95,4.471044135934155
5,5,CV+,0.91,4.198758417142802
5,5,split,0.92,3.9722770784151744
6,5,naive,0.83,3.416762077864843
6,5,jackknife,0.86,3.6832591160744914
6,5,jackknife+,0.85,3.6884064189184307
6,5,jackknife-mm,0.88,3.863246110663074
6,5,CV+,0.87,3.726136811168238
6,5,split,0.93,4.151590938289175
7,5,naive,0.82,2.7469365081187216
7,5,jackknife,0.87,2.906087825178738
7,5,jackknife+,0.87,2.9418081603591957
7,5,jackknife-mm,0.88,3.0636943765504787
7,5,CV+,0.86,2.9828546850611253
7,5,split,0.98,4.324480940768068
8,5,naive,0.9,2.9122460875006864
8,5,jackknife,0.9,2.9439955669759383
8,5,jackknife+,0.9,2.984489129383002
8,5,jackknife-mm,0.91,3.083172371425876
8,5,CV+,0.9,3.140168242958436
8,5,split,0.9,3.2794507488340345
9,5,naive,0.84,3.1864580183863427
9,5,jackknife,0.84,3.195533219342486
9,5,jackknife+,0.84,3.1974030750975997
9,5,jackknife-mm,0.86,3.332907876842049
9,5,CV+,0.86,3.2682761710885004
9,5,split,0.87,3.564046163556951
10,5,naive,0.82,3.5243605404908953
10,5,jackknife,0.85,3.7774961470676103
10,5,jackknife+,0.85,3.7673821858957774
10,5,jackknife-mm,0.89,3.9615872113228106
10,5,CV+,0.84,3.702623891068226
10,5,split,0.88,3.7093165932179017
11,5,naive,0.87,3.1462853195096154
11,5,jackknife,0.88,3.270394176859834
11,5,jackknife+,0.89,3.270394176859834
11,5,jackknife-mm,0.91,3.39517306972997
11,5,CV+,0.89,3.297832501409459
11,5,split,0.91,3.778742024187636
12,5,naive,0.95,3.392769011497897
12,5,jackknife,0.96,3.6291332235065896
12,5,jackknife+,0.96,3.6061505005758234
12,5,jackknife-mm,0.96,3.7865547719594947
12,5,CV+,0.95,3.4957434538451486
12,5,split,0.96,4.175626472555105
13,5,naive,0.9,3.343848053820998
13,5,jackknife,0.92,3.4563385077639337
13,5,jackknife+,0.92,3.4587517699356023
13,5,jackknife-mm,0.93,3.603986366625227
13,5,CV+,0.92,3.526347504524188
13,5,split,0.92,3.7237553757619435
14,5,naive,0.93,3.612165778149681
14,5,jackknife,0.94,3.8190318716059295
14,5,jackknife+,0.94,3.8442411823386773
14,5,jackknife-mm,0.95,3.9880319448286228
14,5,CV+,0.94,3.9059507874935258
14,5,split,0.95,4.08931635836825
15,5,naive,0.93,3.5286908616757433
15,5,jackknife,0.95,3.703288614004313
15,5,jackknife+,0.95,3.6939177763674236
15,5,jackknife-mm,0.95,3.8631676585469257
15,5,CV+,0.95,3.6946644056694207
15,5,split,0.92,3.669372311611747
16,5,naive,0.94,3.553813236199522
16,5,jackknife,0.94,3.8691449035186456
16,5,jackknife+,0.94,3.839285892121995
16,5,jackknife-mm,0.95,4.0263861403746475
16,5,CV+,0.94,3.8652384464644127
16,5,split,0.92,3.5807447578552734
17,5,naive,0.9,2.91541065154326
17,5,jackknife,0.9,3.0391061073823886
17,5,jackknife+,0.9,3.0589840034451505
17,5,jackknife-mm,0.9,3.173879928322731
17,5,CV+,0.9,3.043962634411335
17,5,split,0.91,3.1142376182976585
18,5,naive,0.81,2.825772467120917
18,5,jackknife,0.83,2.93082558365828
18,5,jackknife+,0.84,2.9492013486512008
18,5,jackknife-mm,0.86,3.068313434245985
18,5,CV+,0.85,3.009332474730292
18,5,split,0.81,2.896168638179664
19,5,naive,0.87,3.1540472141632745
19,5,jackknife,0.88,3.445026814575479
19,5,jackknife+,0.88,3.405631226479366
19,5,jackknife-mm,0.89,3.5699108828628563
19,5,CV+,0.88,3.461890888019645
19,5,split,0.88,3.379636564810385
20,5,naive,0.91,3.5227526365897903
20,5,jackknife,0.92,3.65388283198388
20,5,jackknife+,0.92,3.6269046508303364
20,5,jackknife-mm,0.94,3.802908532826759
20,5,CV+,0.92,3.629532168074385
20,5,split,0.92,3.796446902553801
21,5,naive,0.88,3.3595443211906453
21,5,jackknife,0.89,3.5204254259512755
21,5,jackknife+,0.89,3.5207952874440127
21,5,jackknife-mm,0.91,3.692538941630772
21,5,CV+,0.9,3.5039957724246067
21,5,split,0.89,3.4507155664054894
22,5,naive,0.87,3.255053519705255
22,5,jackknife,0.88,3.399982933465271
22,5,jackknife+,0.88,3.418704744644058
22,5,jackknife-mm,0.89,3.56673602657956
22,5,CV+,0.88,3.4472465897439837
22,5,split,0.87,3.5497513577874376
23,5,naive,0.82,3.1988601239925547
23,5,jackknife,0.82,3.2604549308323163
23,5,jackknife+,0.82,3.277922013221205
23,5,jackknife-mm,0.86,3.413493803227149
23,5,CV+,0.83,3.3731549220600936
23,5,split,0.85,3.2940935511375073
24,5,naive,0.95,3.1034487602333156
24,5,jackknife,0.95,3.2805933275640142
24,5,jackknife+,0.95,3.2786435003880716
24,5,jackknife-mm,0.95,3.4480774768804383
24,5,CV+,0.95,3.25424149982607
24,5,split,0.97,3.7728903028044
25,5,naive,0.91,3.3055366377031596
25,5,jackknife,0.93,3.4073699202161065
25,5,jackknife+,0.93,3.426442601403206
25,5,jackknife-mm,0.96,3.5760618891341043
25,5,CV+,0.94,3.438239343239234
25,5,split,0.88,3.36012141819481
26,5,naive,0.87,3.010882535529926
26,5,jackknife,0.89,3.109959202704564
26,5,jackknife+,0.89,3.121647413759374
26,5,jackknife-mm,0.9,3.2562599279319198
26,5,CV+,0.89,3.1667151546371253
